productId,title,url,image,description,category,currency,originalPrice,price,availability,condition,custom_label_brand
100010000586,Thốt Nốt Rim Mật - Đặc Sản Ngon Lành - Hộp 250gr - Đặc Sản Ngon Lành,https://foodmap.asia/product/thot-not-rim-mat-dac-san-ngon-lanh,,,,VND,69000,59000,available,new,Đặc Sản Ngon Lành
100080000001,Rong Xà Lách Lý Sơn - Đặc Sản Ngon Lành,https://foodmap.asia/product/rong-xa-lach-ly-son-dac-san-ngon-lanh,,Rong xà lách Lý Sơn,,VND,38000,25000,available,new,Đặc Sản Ngon Lành
100020000870,Trà Sen Sấy Khô Nguyên Bông - Hộp 3 Bông (45g) - Long Traa,https://foodmap.asia/product/tra-sen-say-kho-nguyen-bong-long-traa,https://food-map.s3.amazonaws.com/PRODUCT/100020000870_001.jpg,,Đặc sản Huế,VND,138000,125000,available,new,LONG TRAA
400050000063,Sầu Riêng Ri6 Chín Già Cấp Đông Cao Cấp - Vua Sầu Riêng,https://foodmap.asia/product/sau-rieng-ri6-chin-gia-cap-dong-cao-cap-vua-sau-rieng,https://food-map.s3.amazonaws.com/PRODUCT/400050000063_001.jpg,0,Trái cây nội địa,VND,399000,225000,available,new,VUA SẦU RIÊNG
100010000588,Bánh Tráng Ba Màu - Mekong River Foods,https://foodmap.asia/product/banh-trang-ba-mau-mekong-river-foods,https://fmi-production.s3.ap-southeast-1.amazonaws.com/uploads/dbf59ad8-b1fa-4eb3-b974-2373e819c26a_1689220559434,"Bánh tráng Mekong ba màu là sản phẩm mới mẻ so với người tiêu dùng. Chính sự mới mẻ đó, làm bánh tráng trở nên đặc sắc. Bánh tráng Mekong ba màu bao gồm bánh tráng nghệ, bánh tráng củ dền, bánh tráng gạo huyết rồng.",Gạo - Mì - Cháo - Miến - Phở,VND,36800,36800,available,new,Mekong River Foods
100010000590,Bánh Ép Huế Gia Truyền Vị BBQ - Đặc Sản Ngon Lành,https://foodmap.asia/product/banh-ep-hue-gia-truyen-vi-bbq-dac-san-ngon-lanh,https://fmi-production.s3.ap-southeast-1.amazonaws.com/uploads/d36fc40b-87ec-4faa-88e1-49066dc8c6e2_1687056713863,,Đặc sản vùng miền,VND,18000,17000,available,new,Đặc Sản Ngon Lành
100010000589,Bánh Ép Huế Gia Truyền Vị BBQ - Đặc Sản Ngon Lành,https://foodmap.asia/product/banh-ep-hue-gia-truyen-vi-bbq-dac-san-ngon-lanh,https://fmi-production.s3.ap-southeast-1.amazonaws.com/uploads/9b75ffd1-bbfb-45c4-8122-06525a5a82c3_1687056788922,,Đặc sản vùng miền,VND,33000,31000,unavailable,new,Đặc Sản Ngon Lành
100010000591,Bánh Ép Huế Gia Truyền Vị Tôm - Đặc Sản Ngon Lành,https://foodmap.asia/product/banh-ep-hue-gia-truyen-vi-tom-dac-san-ngon-lanh,https://fmi-production.s3.ap-southeast-1.amazonaws.com/uploads/ce413ac9-b95f-4951-a2af-f1cd502f0987_1687056943834,,Đặc sản vùng miền,VND,35000,33000,unavailable,new,Đặc Sản Ngon Lành
100010000592,Bánh Ép Huế Gia Truyền Vị Tôm - Đặc Sản Ngon Lành,https://foodmap.asia/product/banh-ep-hue-gia-truyen-vi-tom-dac-san-ngon-lanh,https://fmi-production.s3.ap-southeast-1.amazonaws.com/uploads/17026016-04a2-4a20-9fa1-b3cae4ea75fe_1687056979035,,Đặc sản vùng miền,VND,22000,17000,available,new,Đặc Sản Ngon Lành
400070000092,Nấm Mối Tự Nhiên Sấy Thăng Hoa - Nấm Xanh,https://foodmap.asia/product/nam-moi-tu-nhien-say-thang-hoa-nam-xanh,,,Nấm,VND,8250000,8250000,available,new,Nấm Xanh
400070000093,Nấm Mối Tự Nhiên Sấy Thăng Hoa - Nấm Xanh,https://foodmap.asia/product/nam-moi-tu-nhien-say-thang-hoa-nam-xanh,,,Nấm,VND,16500000,16500000,available,new,Nấm Xanh
100010000594,Bánh Ép Huế Gia Truyền Vị BBQ - Đặc Sản Ngon Lành,https://foodmap.asia/product/banh-ep-hue-gia-truyen-vi-bbq-dac-san-ngon-lanh,https://fmi-production.s3.ap-southeast-1.amazonaws.com/uploads/999f26ca-98b9-46d3-8397-6fd2904a9938_1687769685400,,Đặc sản vùng miền,VND,150000,150000,available,new,Đặc Sản Ngon Lành
100010000595,Bánh Ép Huế Gia Truyền Vị BBQ - Đặc Sản Ngon Lành,https://foodmap.asia/product/banh-ep-hue-gia-truyen-vi-bbq-dac-san-ngon-lanh,https://fmi-production.s3.ap-southeast-1.amazonaws.com/uploads/1c754a04-0963-48e3-ac24-835e3ccb26fa_1699468925036,,Đặc sản vùng miền,VND,85000,85000,available,new,Đặc Sản Ngon Lành
100010000597,Bánh Ép Huế Gia Truyền Vị Tôm - Đặc Sản Ngon Lành,https://foodmap.asia/product/banh-ep-hue-gia-truyen-vi-tom-dac-san-ngon-lanh,https://fmi-production.s3.ap-southeast-1.amazonaws.com/uploads/59392154-5708-4332-b2ea-c5cc866d4c11_1699589538621,,Đặc sản vùng miền,VND,95000,95000,available,new,Đặc Sản Ngon Lành
100010000596,Bánh Ép Huế Gia Truyền Vị Tôm - Đặc Sản Ngon Lành,https://foodmap.asia/product/banh-ep-hue-gia-truyen-vi-tom-dac-san-ngon-lanh,https://fmi-production.s3.ap-southeast-1.amazonaws.com/uploads/6a137601-9643-49bb-ae54-9e23576dd1ec_1687769531964,,Đặc sản vùng miền,VND,175000,175000,available,new,Đặc Sản Ngon Lành
100010000599,Bánh Ép Huế Gia Truyền Vị Mực - Đặc Sản Ngon Lành,https://foodmap.asia/product/banh-ep-hue-gia-truyen-vi-muc-dac-san-ngon-lanh,,,Đặc sản vùng miền,VND,21000,21000,available,new,Đặc Sản Ngon Lành
100010000598,Bánh Ép Huế Gia Truyền Vị Mực - Đặc Sản Ngon Lành,https://foodmap.asia/product/banh-ep-hue-gia-truyen-vi-muc-dac-san-ngon-lanh,,,Đặc sản vùng miền,VND,33000,33000,available,new,Đặc Sản Ngon Lành
100010000600,Bánh Ép Huế Gia Truyền Vị Mực - Đặc Sản Ngon Lành,https://foodmap.asia/product/banh-ep-hue-gia-truyen-vi-muc-dac-san-ngon-lanh,,,Đặc sản vùng miền,VND,155000,155000,available,new,Đặc Sản Ngon Lành
100010000602,Bánh Ép Huế Gia Truyền Vị Mực - Đặc Sản Ngon Lành,https://foodmap.asia/product/banh-ep-hue-gia-truyen-vi-muc-dac-san-ngon-lanh,,,Đặc sản vùng miền,VND,95000,95000,available,new,Đặc Sản Ngon Lành
400070000107,Nấm Mối Tự Nhiên Tươi (Búp) - Nấm Xanh,https://foodmap.asia/product/nam-moi-tu-nhien-nam-xanh,,,Nấm,VND,600000,475000,available,new,Nấm Xanh
400070000109,Nấm Mối Tự Nhiên Sấy Thăng Hoa - Nấm Xanh,https://foodmap.asia/product/nam-moi-tu-nhien-say-thang-hoa-nam-xanh,,,Nấm,VND,825000,825000,available,new,Nấm Xanh
400070000108,Nấm Mối Tự Nhiên Sấy Thăng Hoa - Nấm Xanh,https://foodmap.asia/product/nam-moi-tu-nhien-say-thang-hoa-nam-xanh,,,Nấm,VND,1650000,1650000,available,new,Nấm Xanh
400020000015,"Khoai Lang Tím Nhật Dẻo, Ngọt - Túi 5kg - Đặc Sản Ngon Lành",https://foodmap.asia/product/khoai-lang-tim-nhat-deo-ngot-dac-san-ngon-lanh,,,Rau củ quả,VND,1,1,available,new,Đặc Sản Ngon Lành
400020000016,"Khoai Lang Tím Nhật Dẻo, Ngọt - Túi 5kg - Đặc Sản Ngon Lành",https://foodmap.asia/product/khoai-lang-tim-nhat-deo-ngot-dac-san-ngon-lanh,,,Rau củ quả,VND,65000,40000,available,new,Đặc Sản Ngon Lành
400050000066,"Vải Thiều Lục Ngạn Chín Mọng, Ngọt Lịm - Đặc Sản Ngon Lành",https://foodmap.asia/product/vai-thieu-luc-ngan-chin-mong-ngot-lim-dac-san-ngon-lanh,https://fmi-production.s3.ap-southeast-1.amazonaws.com/uploads/08a20d69-02ed-4f6b-b6e4-e059c39da7bb_1686973205193,,Trái cây tươi ngon,VND,85000,85000,available,new,FOODMAP FRUITS
400050000068,Mận Hậu Ruby Sơn La -  Đặc Sản Ngon Lành,https://foodmap.asia/product/man-hau-ruby-son-la-dac-san-ngon-lanh,,,Trái cây tươi ngon,VND,750000,750000,available,new,Đặc Sản Ngon Lành
400050000067,Mận Hậu Ruby Sơn La -  Đặc Sản Ngon Lành,https://foodmap.asia/product/man-hau-ruby-son-la-dac-san-ngon-lanh,,,Trái cây tươi ngon,VND,250000,250000,available,new,Đặc Sản Ngon Lành
400050000069,Mận Hậu Ruby Sơn La -  Đặc Sản Ngon Lành,https://foodmap.asia/product/man-hau-ruby-son-la-dac-san-ngon-lanh,,,Trái cây tươi ngon,VND,150000,130000,available,new,Đặc Sản Ngon Lành
400050000070,Mận Hậu Ruby Sơn La -  Đặc Sản Ngon Lành,https://foodmap.asia/product/man-hau-ruby-son-la-dac-san-ngon-lanh,,,Trái cây tươi ngon,VND,750000,750000,available,new,Đặc Sản Ngon Lành
400050000071,"Thanh Long Vàng Tổ Yến - Hộp 3 Trái (1,5-2kg) - Đặc Sản Ngon Lành",https://foodmap.asia/product/thanh-long-vang-to-yen-dac-san-ngon-lanh,,,,VND,185000,185000,available,new,Đặc Sản Ngon Lành
400050000073,Mận Hậu Ruby Sơn La (Size Lớn) - Đặc Sản Sơn La,https://foodmap.asia/product/man-hau-ruby-son-la-size-lon-dac-san-ngon-lanh,,,Trái cây tươi ngon,VND,325000,325000,available,new,Đặc Sản Sơn La
400050000072,Mận Hậu Ruby Sơn La (Size Lớn) - Đặc Sản Sơn La,https://foodmap.asia/product/man-hau-ruby-son-la-size-lon-dac-san-ngon-lanh,,,Trái cây tươi ngon,VND,150000,130000,available,new,Đặc Sản Sơn La
400050000074,Mận Hậu Ruby Sơn La (Đặc Biệt) - Đặc Sản Sơn La,https://foodmap.asia/product/man-hau-ruby-son-la-dac-biet-dac-san-son-la,https://fmi-production.s3.ap-southeast-1.amazonaws.com/uploads/c8233c4c-6e2d-4628-bdd1-b5315d6890b6_1686988342852,,Trái cây tươi ngon,VND,125000,119000,available,new,FOODMAP FRUITS
